"Aggregate","Schema","Table","Ownership","Classification"
"A24 Audit","audit","audit_details","Audit","Runtime-generated"
"A24 Audit","audit","audit_logs","Audit","Runtime-generated"
"A24 Audit","audit","entity_changes","Audit","Runtime-generated"
"A24 Audit","audit","hash_ledger","Audit","Runtime-generated"
"A13 Communication","communication","announcements","Communication Management","Supporting"
"A13 Communication","communication","message_attachments","Communication Management","Runtime-generated"
"A13 Communication","communication","message_recipients","Communication Management","Runtime-generated"
"A13 Communication","communication","messages","Communication Management","Runtime-generated"
"A13 Communication","communication","notification_channels","Communication Management","Supporting"
"A13 Communication","communication","notification_logs","Communication Management","Runtime-generated"
"A13 Communication","communication","notification_templates","Communication Management","Supporting"
"A13 Communication","communication","notifications","Communication Management","Runtime-generated"
"A13 Communication","communication","user_notification_preferences","Communication Management","Runtime-generated"
"A16 Form","forms","form_definitions","Form Runtime","Supporting"
"A16 Form","forms","form_instances","Form Runtime","Runtime-generated"
"A21 Integration","integration","data_sync_jobs","Integration Runtime","Runtime-generated"
"A21 Integration","integration","event_bus_config","Integration Runtime","Infrastructure"
"A21 Integration","integration","event_outbox","Integration Runtime","Runtime-generated"
"A21 Integration","integration","event_subscriptions","Integration Runtime","Infrastructure"
"A21 Integration","integration","external_systems","Integration Runtime","Infrastructure"
"A21 Integration","integration","integration_credentials","Integration Runtime","Infrastructure"
"A21 Integration","integration","integration_failures","Integration Runtime","Runtime-generated"
"A21 Integration","integration","integration_logs","Integration Runtime","Runtime-generated"
"A21 Integration","integration","retry_queue","Integration Runtime","Runtime-generated"
"A21 Integration","integration","webhooks","Integration Runtime","Infrastructure"
"A15 Monitoring","monitoring","compliance_reviews","Oversight","Supporting"
"A15 Monitoring","monitoring","corrective_actions","Oversight","Supporting"
"A15 Monitoring","monitoring","deviations","Oversight","Supporting"
"A15 Monitoring","monitoring","inspection_reports","Oversight","Supporting"
"A15 Monitoring","monitoring","inspections","Oversight","Supporting"
"A15 Monitoring","monitoring","monitoring_findings","Oversight","Supporting"
"A15 Monitoring","monitoring","monitoring_plans","Oversight","Supporting"
"A15 Monitoring","monitoring","monitoring_visits","Oversight","Supporting"
"A15 Monitoring","monitoring","preventive_actions","Oversight","Supporting"
"A15 Monitoring","monitoring","protocol_violations","Oversight","Supporting"
"A25 Execution","ops","seed_tracker","Engineering/DevOps Governance (D8)","Historical"
"A25 Execution","public","perf_results","Engineering/DevOps Governance (D8)","Historical"
"A25 Execution","public","pgmigrations","Engineering/DevOps Governance (D8)","Historical"
"A04 Committee","public","v_chair_id","Research Ethics Committee","View"
"A17 Institution","public","v_inst_codes","Institution Administration","View"
"A18 Identity","public","v_user_id","Identity & Access","View"
"A11 Reference","reference","academic_titles","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","application_statuses","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","committee_decision_types","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","document_statuses","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","institutions_registry","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","licenses_registry","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","lookup_categories","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","lookup_values","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","notification_statuses","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","priority_levels","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","professions_registry","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","review_statuses","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","risk_levels","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","status_types","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","vote_types","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","reference","workflow_statuses","Reference Knowledge / Documentation Stewardship","Reference-data"
"A22 Reporting","reporting","analytics_snapshots","Reporting","Runtime-generated"
"A22 Reporting","reporting","dashboard_widgets","Reporting","Infrastructure"
"A22 Reporting","reporting","kpi_results","Reporting","Runtime-generated"
"A22 Reporting","reporting","report_definitions","Reporting","Infrastructure"
"A22 Reporting","reporting","report_executions","Reporting","Runtime-generated"
"A14 Safety","safety","adverse_events","Safety Governance","Supporting"
"A14 Safety","safety","corrective_actions","Safety Governance","Supporting"
"A14 Safety","safety","mitigation_actions","Safety Governance","Supporting"
"A14 Safety","safety","risk_assessments","Safety Governance","Supporting"
"A14 Safety","safety","risk_categories","Safety Governance","Supporting"
"A14 Safety","safety","risk_incidents","Safety Governance","Supporting"
"A14 Safety","safety","risk_mitigations","Safety Governance","Supporting"
"A14 Safety","safety","risk_register","Safety Governance","Supporting"
"A14 Safety","safety","safety_committee_reviews","Safety Governance","Supporting"
"A14 Safety","safety","safety_followups","Safety Governance","Supporting"
"A14 Safety","safety","safety_reports","Safety Governance","Supporting"
"A14 Safety","safety","serious_adverse_events","Safety Governance","Supporting"
"A23 SystemConfiguration","system","audit_config","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","audit_log","Platform Operations","Runtime-generated"
"A23 SystemConfiguration","system","business_rules","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","email_config","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","feature_flags","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","maintenance_log","Platform Operations","Runtime-generated"
"A23 SystemConfiguration","system","push_config","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","rule_actions","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","rule_conditions","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","rule_executions","Platform Operations","Runtime-generated"
"A23 SystemConfiguration","system","rule_versions","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","saved_searches","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","search_audit","Platform Operations","Runtime-generated"
"A23 SystemConfiguration","system","search_indexes","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","sms_config","Platform Operations","Infrastructure"
"A23 SystemConfiguration","system","system_config","Platform Operations","Infrastructure"
"A12 Template","templates","categories","Document Handling","Dead-data"
"A12 Template","templates","event_template_mapping","Document Handling","Dead-data"
"A12 Template","templates","template_approval_workflow","Document Handling","Dead-data"
"A12 Template","templates","template_localizations","Document Handling","Dead-data"
"A12 Template","templates","template_outputs","Document Handling","Dead-data"
"A12 Template","templates","template_package_members","Document Handling","Dead-data"
"A12 Template","templates","template_packages","Document Handling","Dead-data"
"A12 Template","templates","template_partials","Document Handling","Dead-data"
"A12 Template","templates","template_render_history","Document Handling","Dead-data"
"A12 Template","templates","template_render_jobs","Document Handling","Dead-data"
"A12 Template","templates","template_usage_statistics","Document Handling","Dead-data"
"A12 Template","templates","template_validation_tests","Document Handling","Dead-data"
"A12 Template","templates","template_variables","Document Handling","Dead-data"
"A12 Template","templates","template_version_audit","Document Handling","Dead-data"
"A12 Template","templates","template_versions","Document Handling","Dead-data"
"A12 Template","templates","templates","Document Handling","Dead-data"
"A20 Workflow","workflow","workflow_actions","Workflow Runtime","Runtime-generated"
"A20 Workflow","workflow","workflow_comments","Workflow Runtime","Runtime-generated"
