PreconditionID,Phase4BlockedBy,CurrentState,RequiredDecision,RequiredEvidence,RequiredArtifact,ClosesBlock,BlocksPhase4,Status
PREC-01,"C6 - I11 exception unrecorded","I11 stands Violated (R9 PRECEDENT-I11-SECURITY-DEFINER status Unrecorded; EXCEPTIONS empty; EL-3 standing violation)","BD-C6-001: record the I11 SECURITY DEFINER exception in R9 (targetElement=I11, authority=ADR-003+, scope, expiry, status=Recorded) with a dated commitment (ADR-INDEX PQ-2)","R9 registry state after update; ADR-INDEX PQ-2 status closed; governance test R9-exception-shape green","backend/src/governance/registries/exception.registry.ts (EXCEPTIONS populated); exception.specification.ts status; ADR-INDEX.md (PQ-2 closed; new ADR row)","YES - lifts I11 from standing Violated to Suspended for the bounded scope; prerequisite to any I11-related gate (GD-2)","YES","OPEN"
PREC-02,"C6 - P3-I11 conflict unresolved","RULE 12 mandated into two homes (DOMAIN_MODEL A02/A09 aggregate home vs I11 RLS policy home) with no precedence/reconciliation rule; stress-test 'Genuine conflict'","BD-C6-001 (amendment or interpretation component): reconcile RULE 12's two homes and state the precedence between P3/I5 and I11 for access-control matrices","ADR text recording the reconciliation and precedence rule; precedence-rule test green","ADR-002 section 3/5 amendment (if text path) OR amending ADR recording the interpretation (C6-D path); R1/R2 registry updates as applicable","YES - resolves the constitutional contradiction; an exception alone cannot reconcile two frozen rules","YES","OPEN"
PREC-03,"C6 - bypass-detection verification absent","R4 I11 verificationLink Present-Partial ('bypass detection mapped'); AEM section 5 failure 2 cause = Missing verification + Missing governance; I11 in READY_OUTSIDE_INITIAL_SET","BD-C6-001: register the I11 bypass-detection constraint (SECURITY DEFINER functions + disabled-RLS observable) in R2/R4 with the exception carve-out applied","R2/R4 registry rows for the bypass-detection constraint; test asserting the observable","backend/src/governance/registries/constraint.registry.ts; verification.registry.ts (I11 bypass-detection registration); GD-2 invariant test","YES - makes the violation machine-detectable (I11 classification 'Automatically verifiable (with documented bypass)' becomes real)","YES","OPEN"
PREC-04,"C6 - exception scope mismatch with repository state","Recorded precedent scope says 'registration only' but repository has 27/15/15/14/14/13 SECURITY DEFINER occurrences across 6 schema files and callers in auth/consent-review/verification","BD-C6-001: fix the exception scope to match the enumerated SECURITY DEFINER surface (or define a general bounded carve-out policy)","ADR-scope field; inventory of enumerated functions; caller inventory","exception.registry.ts scope field; R9 record; ADR-BOARD-C6-PQ1-EVIDENCE-REGISTER.csv rows C6EV-09..11","YES - prevents a false 'bounded' exception that the repository does not honor","YES","OPEN"
PREC-05,"C6 - exception expiry undefined","R9 record expiry 'Not defined'; SPEC-EXCEPTION requires expiring exceptions (never permanent)","BD-C6-001: set an expiry or a re-review cadence for the I11 exception","Expiry value or cadence in the ADR; R9 expiry field","exception.registry.ts R9 record expiry; exception.specification.ts status","YES - satisfies 'exceptions are expiring' (SPEC-EXCEPTION; state-machine transition 12)","YES","OPEN"
PREC-06,"PQ-1 - EC8 audit chain unselected","ADR-INDEX PQ-1 OPEN; LOW-2 unresolved; Phase-3 recorded Candidate A pending board confirmation","BD-PQ1-001: select the canonical EC8 audit chain (Candidate A or B); record the other as a projection","ADR recording selection + projection; TRACEABILITY_CHAIN pinning test green","backend/src/governance/relationships/traceability-graph.ts; decision-provenance.ts; decision.specification.ts (if B); Phase-3 reports; ADR-INDEX.md (PQ-1 closed; new ADR row)","YES - without selection the engine cannot build the EC8 audit (DECISION-P3-002 section 2)","YES","OPEN"
PREC-07,"PQ-1 - frozen-text amendment (only if B selected)","If Candidate B selected: object-model section 2.3 and enforcement-architecture section 2/3 state Candidate A; amending them is required","BD-PQ1-001 (B path): amend constitutional-object-model.md section 2.3 + constitutional-enforcement-architecture.md section 2/3 Traceability definition + Phase-3 recorded chain","Amended documents; ADR recording the amendment","docs/constitutional-object-model.md; docs/constitutional-enforcement-architecture.md; ADR-002 T3/G3/EC8 referencing docs","YES (only if B) - otherwise recorded chain, reports, and provenance artifacts diverge from the constitution (PQ1RSK-03)","CONDITIONAL (only if Candidate B selected)","OPEN"
PREC-08,"PQ-1 - EC8 two-referent distinction","EC8 has two referents: document-level 6-chain exit criterion (transition plan line 327; consolidation review section 5; 5 of 6 broken) vs object-level audit chain (object-model section 2.3)","BD-PQ1-001: record the two-referent distinction in the PQ-1 ADR; keep the document-level re-verification as a separate EC8 verification scope","ADR text recording the distinction; R4 EC8 NeedsExtension note","docs/architecture/registry/phase3-traceability-report.md section 6; ADR-INDEX.md PQ-1 row","YES - prevents silent merging (PQ1RSK-02)","YES","OPEN"
PREC-09,"Both - governance tests not yet present","C.4 test set (R9 exception shape, GD-2 no-gate-binding invariant, bypass-detection constraint, precedence rule, TRACEABILITY_CHAIN pinning, audit-chain edge assertions) not yet added","Board decisions must be accompanied by the C.4 test set as a mandatory part of each closing decision","Governance test suite green (npx vitest run src/governance)","backend/src/governance registries/relationships test files; phase3-verification-report.md","YES - closure must be machine-verifiable (GOVRSK-03)","YES","OPEN"
PREC-10,"Both - later architectural review not performed","DECISION-P3-001 section 4.2 and closure report section 5 require a later architectural review to confirm closure of C1-C6 before Phase 4","Later architectural review confirming closure of C1-C6 and confirming C6/PQ-1 closed per this package","Review decision artifact recording the confirmation; governance suites green","docs/architecture/registry/ phase3-later-review decision artifact (new)","YES - the explicit gate from DECISION-P3-001 section 4.2","YES","OPEN"
