RiskID,Category,Likelihood,Impact,Overall,Description,Mitigation,Owner,Status,RelatedFinding
RSK-01,"Relationship model consistency","Medium","High","High","Enforcement-chain edge directions are mixed (evaluates and requires run opposite the chain order) and the reports present them as uniform forward arrows. The future engine could traverse links in the wrong direction, producing false gate rulings or false traceability failures.","Define an explicit per-edge direction contract (or separate prerequisite-edge vs enforcement-flow-edge lists) in MODEL-DEPENDENCY-GRAPH; correct the report diagrams/tables; add direction assertions to the test suite before any engine traversal code.","D4 (Verification) / D5 (Gate)","Open","HIGH-1","C1"
RSK-02,"Relationship model consistency","Medium","High","High","Model composed-of kinds are not validated against the vocabulary's validFrom/validTo ranges relative to each model's objectKinds. A range-incompatible composed-of entry (e.g., 'cites' in authority/decision models; 'attaches-to'/'traverses' as layer via-kinds) passes the suite. DEC-3.3's 'reject ill-typed links by construction' is not yet demonstrated.","Add a range-compatibility test for every model (composed-of kind ∩ model objectKinds non-empty on both sides); type layer edges with dedicated layer kinds or validate 'via' against the vocabulary; resolve the 'cites'/Document and MODEL-LINKING objectKinds omissions.","D1 (Constitutional Definition) / D2 (Constraint)","Open","HIGH-2, MED-1","C2"
RSK-03,"Governance debt","High","High","High","The I11 SECURITY DEFINER bypass remains an unrecorded exception (EL-3 => standing violation). I11 is rated Ready, so the engine phase could be asked to verify I11 while I11 itself stands Violated; GD-2 forbids binding a gate on a violated rule.","Record the I11 exception in R9 via the ADR review and resolve the P3-I11 conflict before binding any gate that gates the I11 verification; commit to a dated governance plan; keep I11 as a hard gate prerequisite for the engine phase.","D6 (Decision & Exception) / ADR board","Open","OBS-1","C6"
RSK-04,"Identity completeness","Medium","Medium","Medium","Identity rules cover 12 of 19 object kinds; ADR, Principle, Invariant, Lifecycle, Ownership, Traceability, Baseline have no identity anchors despite participating in registered relationship kinds. The engine cannot give stable identity to amendment instruments (ADR) or provenance objects.","Document the registry-anchored-only scoping, or extend CONSTITUTIONAL_ID_RULES to the 7 omitted kinds (ADR at minimum); pin the chosen scope in a test before the engine phase.","D1 (Constitutional Definition) / D7 (State)","Open","MED-2","C3"
RSK-05,"Traceability correctness","Medium","Medium","Medium","The T3 backward chain (Decision->Evidence->Constraint->Rule) omits Verification and Gate, while object-model §4 defines the full chain through them. The EC8 audit's backward traversal is undefined at the constitutional-source level; the engine may audit the wrong chain.","Surface the ambiguity to the ADR board and record the chosen EC8 chain before building the engine audit; update MODEL-TRACEABILITY accordingly.","D4 (Verification) / D8 (Execution)","Open","LOW-2","C5"
RSK-06,"Vocabulary drift","Medium","Low","Medium","The vocabulary is verified only for internal consistency, never for exact equality against the object-model §2.1-2.3 source tables. A dropped/added/reversed relationship kind would pass the suite silently and mislead the engine.","Encode the source tables as a fixture and assert exact set + direction + validFrom/validTo equality in the governance suite (aligns with EC2/EC4 intent).","D1 (Constitutional Definition)","Open","MED-3","C4"
RSK-07,"Metadata confusion with enforcement","Low","Medium","Medium","The models carry declarative rule strings (OWN/VD/GD/DP/EL). A future engineer could mistake rule text for executable enforcement and wire it before the architectural review approves runtime behavior, violating RELATIONSHIPS_RUNTIME_PROHIBITED.","Keep the runtime-prohibition markers on every model; re-verify zero runtime wiring before the engine phase; require a dedicated architectural review before any execution.","D4 (Verification)","Open","SCOPE-1 note","none"
RSK-08,"Authority resolution ambiguity","Medium","Low","Medium","D3's authority body is a role set (four disciplines). The engine could resolve authority at the domain level and mis-assign artifact ownership; per-artifact ownership must resolve through R10 reconciliation (OWN-4).","Carry the D3 per-artifact resolution requirement into the engine phase; verify ownership reconciliation against R10 before accepting any evidence-related decision.","D3 (Evidence)","Open","AUTH-1 note","none"
RSK-09,"Traceability annotation quality","Low","Low","Low","'records' kind cites object-model §2.2 as its source although §2.2 has no such row; other annotations could drift similarly, degrading the T3 provenance of the vocabulary itself.","Correct the 'records' source annotation to enforcement-architecture §2 (Decision Registry); add a review pass on vocabulary source annotations.","D1 (Constitutional Definition)","Open","MED-4","C5"
RSK-10,"Report/code divergence","Low","Low","Low","phase3-object-relationship-report.md lists 'cites | object -> Document' while code constrains 'cites' to Evidence/Traceability; dependency-graph report mislabels the Gate incoming edge. Reports may drift from code and mislead readers and the engine.","Correct the two report discrepancies; consider generating relationship reports from the vocabulary to prevent drift (EC4-style consistency re-audit).","D1 (Constitutional Definition)","Open","MED-1, HIGH-1","C2"
