AssumptionID,Statement,Origin,BreaksWhen,Status
A1,"ops.seed_tracker status is trustworthy enough to skip already-applied seeds","seed-reconstruction-execution-architecture.md; installation-readiness.md; rc4-seed-final-assessment.md","Any replay decision relies on tracker rows whose applied_at/duration_ms are dump-restored artifacts (78 rows identical)","BROKEN - blocking"
A2,"The Gate-0 baseline dump is a complete, correct snapshot of the canonical dataset","installation-readiness.md (Path A)","Dump contains only Era-2 + Era-3 output; Era-1 data wiped by 00-truncate.sql while tracker still lists Era-1 as success","BROKEN - self-consistent but not a traceable derivation"
A3,"Seed files are the single source of truth for dataset construction","rc4-seed-final-assessment.md; architecture-normalization-review.md","33/79 seeds carry silent-no-op risk; 16 non-idempotent; two incompatible lineages write same tables","BROKEN - files cannot be the sole truth"
A4,"Full-suite deterministic rebuild from seed SQL achievable once dependencies are topologically sorted","seed-reconstruction-execution-architecture.md (S3 DAG)","Topological order fixes execution order, not anchor validity; 8 seeds reference dead APP-2024-*/demo anchors","RISK - ordering insufficient"
A5,"Scope-key idempotency (natural-key upsert) can be made safe under RLS","seed-reconstruction-execution-architecture.md (S8)","Deny-list of 15 runtime tables is asserted complete, not proven; FOR INSERT WITH CHECK RLS interactions unverified","UNVERIFIED"
A6,"Verification via row counts and FK anti-joins proves the dataset is business-correct","seed-reconstruction-execution-architecture.md (S9); seed-quality-report.md","Integrity (0 broken FKs, 45,453 rows) does not imply workflow/committee/notification correctness","FALSE - integrity not correctness"
A7,"315 leaf routes reading empty tables (163 hits) is the correct definition of feature readiness","change-impact-analysis.md (S5); feature-data-coverage.md","Coverage is route-read based; correctness-sensitive features (RULE 11/12) can be populated yet wrong","PARTIAL - necessary not sufficient"
A8,"monitoring.* tables are out of scope because they are seed-only","feature-data-coverage.md; change-impact-analysis.md","monitoring/audit and monitoring/config routes read populated audit.audit_logs/security.users/system.system_config; monitoring.* itself has no repo/route","FALSE - dead weight inflates seed volume"
A9,"Frontend can be judged through SDK route mapping alone","frontend_pages.csv (51); sdk_route_map.csv (167 methods)","certificates.sdk.ts hardcodes applicationId=0; Admin/EmailSettings.tsx orphaned; mapping proves connectivity not behavior","FALSE - page flows unasserted"
A10,"Gate-0 reproducible equals RC4-ready","installation-readiness.md (Path A); rc4-seed-final-assessment.md","Reproducibility achieved by dump restoration, not seed re-execution; RC4 needs reproducible construction","BROKEN - conflation of restore with construct"
A11,"Pipeline-layer boundaries (L0-L16) equal domain modularity","seed-reconstruction-execution-architecture.md","security.users (66 FK refs) and core.applications (26) are unbounded shared anchors; layers are execution order not isolation","FALSE - boundaries are ordering not isolation"
A12,"Rule 11 terminal states (REJECTED/WITHDRAWN/ARCHIVED) are enforceable without storage","AGENTS.md RULE 11","APPROVED/CLOSED are non-terminal by derivation; reachability must be re-run on every dataset change; no verification hook","UNVERIFIED - derived state never asserted"
A13,"Rule 12 evidence DELETE matrix (7 scenarios) is enforced by scattered policies","AGENTS.md RULE 12","No aggregate or policy-set asserts the 4-factor matrix (application ownership, condition ownership, workflow state, user role)","UNVERIFIED - matrix never executed"
A14,"Dead data can be retained harmlessly in canonical counts","backend-table-usage.csv; feature-data-coverage.md","templates.* (0 consumers), monitoring.* (no consumers), Era-1 anchors inflate all coverage and completeness metrics","FALSE - distorts metrics and verification"
A15,"A single deterministic restore path is sufficient operational architecture for RC4","installation-readiness.md","RC4 requires incremental upgrades, multi-tenant/multi-institution, offline installs, and promotion; only Path A works","BROKEN - insufficient for RC4 objectives"
