RiskID,Category,Likelihood,Impact,Overall,Description,Mitigation,Owner,Status,RelatedFinding
C6RSK-01,Governance debt,High,High,High,"I11 stands Violated (unrecorded SECURITY DEFINER bypass) and the P3-I11 conflict is unresolved. If Phase 4 binds any gate to the I11 verification before C6 closes, GD-2 forbids it (Violated or Suspended rule may not bind a gate), producing an illegal gate or a false approval.","Commit a dated ADR-board plan (ADR-003+) that records the I11 exception in R9 AND resolves the P3-I11 conflict with a precedence rule; keep the Phase 4 prohibition in force until the later architectural review confirms C6 closure.","D6 (Decision & Exception) / ADR board","Open","C6, OBS-1, EL-3"
C6RSK-02,Governance debt,Medium,High,High,"The I11 exception could be recorded as a bare R9 row (no ADR) or with an empty/unresolved authority field. R9/Spec-Exception require an ADR or authority; object-model §2.2 requires Exception to reference an ADR or authority; ADR-INDEX PQ-2 requires a Formal ADR. A bare row would not satisfy PQ-2 and would keep C6 open while appearing closed.","Require ADR-003+ (registered in ADR-INDEX, ADR-001 §2.1 series mechanics) as the only acceptable closing instrument; add a governance test asserting EXCEPTIONS contains exactly one Recorded entry targeting I11 with non-empty ADR authority, scope, and expiry.","D6 (Decision & Exception) / ADR board","Open","C6, PQ-2, A.11"
C6RSK-03,Governance debt,High,High,High,"The P3-I11 conflict (RULE 12's two mandated homes: single authoritative aggregate model vs RLS sole access-control) has no precedence/reconciliation rule. An exception governs a deviation, not a contradiction between two frozen rules, so the conflict cannot be closed by an exception alone; a Suspended I11 still cannot bind a gate.","Amending ADR that reconciles the two homes (model home + RLS enforcement expression) and states the precedence between P3/I5 and I11 for access-control matrices; register a precedence-rule test (C.4).","D6 (Decision & Exception) / ADR board / D1 (Constitutional Definition)","Open","C6, P3-I11 conflict, A.10"
C6RSK-04,Readiness misread,Medium,High,High,"I11 is rated Ready (enforcement-architecture §6.1) because a bypass-detection verification is specifiable. An implementer could mistake Ready for permission to bind a gate, or bind the I11 verification while the exception is in force (Suspended).","Treat readiness as specifiability, not authorization; assert via a GD-2 test that no GATE_ELEMENT_ASSIGNMENT binds the I11 verification while I11 is Suspended/Violated, and that binding appears only after exception record + conflict ADR exist.","D5 (Gate) / D4 (Verification)","Open","C6, A.12, Ready-ne"
C6RSK-05,Scope creep,Low,High,Medium,"While resolving C6, an implementer could modify frozen constitutional text (ADR-002 §3/§5, constitutional object-model/enforcement-architecture) outside the formal ADR process, violating Governance Freeze §3/§4 and the No-Change Boundary.","Route every text change through the amending ADR; keep the No-Change Boundary (documentation only) explicit; confirm zero changes to runtime code, SQL, seeds, registries, specifications, relationship models, APIs, commits, and tags as part of this analysis.","D6 (Decision & Exception) / ADR board","Open","No-Change Boundary, Governance Freeze"
PQ1RSK-01,Traceability correctness,High,High,High,"EC8 audit chain is ambiguous at the constitutional-source level: object-model §2.3 and enforcement-architecture §2/§3 state Candidate A (Decision->Evidence->Constraint->Rule), while object-model §4 implies Candidate B (Decision->Gate->Verification->Evidence->Constraint->Rule). If the engine audit is built before the board selects, it may audit the wrong chain and produce false traceability failures or false approvals.","ADR board selects the canonical EC8 chain via formal ADR (ADR-INDEX PQ-1) before any engine audit work; record the other candidate as a projection; update MODEL-TRACEABILITY, MODEL-DECISION-PROVENANCE, decision.specification tracesTo, and the Phase-3 reports accordingly.","D4 (Verification) / D8 (Execution) / ADR board","Open","PQ-1, LOW-2, RSK-05"
PQ1RSK-02,Traceability correctness,Medium,Medium,Medium,"Two 'EC8' referents exist: the exit-criterion EC8 (6 document-level traceability chains, architecture-transition-plan §9/AEM §2.4) and the object-level EC8 audit chain (object-model §2.3). Conflating them could cause the engine to merge the 6-chain re-verification with the decision-trace audit, or to skip the document-level re-verification entirely.","Record the two-referent distinction in the PQ-1 ADR; keep the document-level 6-chain re-verification as a separate EC8 verification scope the engine must implement; do not silently merge.","D1 (Constitutional Definition) / D4 (Verification)","Open","PQ-1, B.7"
PQ1RSK-03,Traceability correctness,Medium,High,High,"If the board selects Candidate B, closing PQ-1 requires amending frozen text (object-model §2.3, enforcement-architecture §2/§3 Traceability definition, and the Phase-3 recorded chain). If the amendment is skipped and B is silently adopted, the recorded chain, reports, and provenance artifacts diverge from the constitution.","If B is selected, amend the frozen documents via formal ADR as part of the PQ-1 decision; if A is selected, no text change but record a confirmatory ADR plus the projection; always update the traceability/dependency-graph/object-relationship reports.","ADR board / D1 (Constitutional Definition)","Open","PQ-1, B.5, B.6"
PQ1RSK-04,Relationship model consistency,Medium,Medium,Medium,"Candidate B's audit chain requires edges records/produces, requires, evaluates, examines, constrained-by in the backward direction. If the chain is selected but DEPENDENCY_EDGE_DIRECTIONS or RELATIONSHIP_KINDS ranges are not updated for the new traversal, the engine could traverse links in the wrong direction.","Pin TRACEABILITY_CHAIN to the selected chain in the test suite; assert all audit-chain edges are within RELATIONSHIP_KINDS ranges and match DEPENDENCY_EDGE_DIRECTIONS; add an engine EC8-audit-shape scaffold test (no execution).","D1 (Constitutional Definition) / D4 (Verification)","Open","PQ-1, C.4"
PQ1RSK-05,Report/code divergence,Low,Low,Low,"The Phase-3 reports currently record Candidate A as the EC8 chain. If the board later selects B without updating phase3-dependency-graph-report §3, phase3-traceability-report §6, phase3-object-relationship-report, traceability-register, and registry-implementation-inventory, reports drift from the decision.","Update the listed reports (and, if B, the frozen documents) as part of the PQ-1 closing process; consider generating relationship reports from the vocabulary to prevent future drift.","D1 (Constitutional Definition)","Open","PQ-1, C.3"
GOVRSK-01,Governance debt,High,High,High,"C6 and PQ-1 both require ADR-board decisions; neither may be substituted by a documentation note or an unapproved interpretation. If Phase 4 begins on the strength of this analysis alone (which is documentation only), the prohibitions (RUNTIME_ENFORCEMENT_PROHIBITED, SPECIFICATIONS_RUNTIME_PROHIBITED, RELATIONSHIPS_RUNTIME_PROHIBITED) and the Phase 4 prohibition are violated.","Treat the governance analysis as advisory; require the formal ADRs (ADR-003+) and the later architectural review confirming C1-C6 closure before any Phase-4 work; keep the No-Change Boundary.","D5 (Gate) / D6 (Decision & Exception)","Open","C6, C.1, C.6"
GOVRSK-02,Scope creep,Medium,Medium,Medium,"P7 circularity is a third known constitutional defect on its own ADR track. If it is pulled into the C6/PQ-1 decisions or ignored when provenance machinery is relied on, the decision scope expands or an unaddressed defect is silently carried into Phase 4.","Keep P7 on its own ADR-track item; record it as advisory (not gating Phase 4 under C6/PQ-1) but require its resolution before the provenance machinery it touches is relied on.","D6 (Decision & Exception) / ADR board","Open","C.2, P7"
GOVRSK-03,Verification completeness,Medium,Low,Medium,"After C6/PQ-1 close, new tests (R9 exception shape, GD-2 no-gate-binding invariant, I11 bypass-detection constraint, precedence rule, TRACEABILITY_CHAIN pinning, audit-chain edge assertions) are required. If added tests are absent or the closing ADR is registered without them, closure is not machine-verifiable.","Add the C.4 test set as a mandatory part of each closing decision; the later architectural review must confirm the tests are green before Phase 4.","D4 (Verification) / D1 (Constitutional Definition)","Open","C.4, C.6"
