"Module","Method","Route","Layer","Target","Method2","Repos","ReadTables","EmptyReads","WriteTables"
"admin","GET","/api/v1/admin/backup/","SERVICE","BackupService","list","","","",""
"admin","POST","/api/v1/admin/backup/","SERVICE","BackupService","create","","","",""
"admin","POST","/api/v1/admin/backup/:name/verify","SERVICE","BackupService","verify","","","",""
"admin","POST","/api/v1/admin/backup/:name/restore","SERVICE","BackupService","restore","","","",""
"admin","GET","/api/v1/admin/backup/:name/download","SERVICE","BackupService","getStream","","","",""
"admin","DELETE","/api/v1/admin/backup/:name","SERVICE","BackupService","delete","","","",""
"admin","POST","/api/v1/admin/backup/rotate","SERVICE","BackupService","rotate","","","",""
"admin","GET","/api/v1/admin/email-config/","REPOSITORY","EmailConfigRepository","findAll","EmailConfigRepository","system.email_config","","system.email_config"
"admin","GET","/api/v1/admin/email-config/active","REPOSITORY","EmailConfigRepository","findActive","EmailConfigRepository","system.email_config","","system.email_config"
"admin","GET","/api/v1/admin/email-config/:id","REPOSITORY","EmailConfigRepository","findById","EmailConfigRepository","system.email_config","","system.email_config"
"admin","POST","/api/v1/admin/email-config/","REPOSITORY","EmailConfigRepository","deactivateAll","EmailConfigRepository","system.email_config","","system.email_config"
"admin","POST","/api/v1/admin/email-config/","REPOSITORY","EmailConfigRepository","create","EmailConfigRepository","system.email_config","","system.email_config"
"admin","PUT","/api/v1/admin/email-config/:id","REPOSITORY","EmailConfigRepository","findById","EmailConfigRepository","system.email_config","","system.email_config"
"admin","PUT","/api/v1/admin/email-config/:id","REPOSITORY","EmailConfigRepository","deactivateAll","EmailConfigRepository","system.email_config","","system.email_config"
"admin","PUT","/api/v1/admin/email-config/:id","REPOSITORY","EmailConfigRepository","update","EmailConfigRepository","system.email_config","","system.email_config"
"admin","DELETE","/api/v1/admin/email-config/:id","REPOSITORY","EmailConfigRepository","delete","EmailConfigRepository","system.email_config","","system.email_config"
"admin","POST","/api/v1/admin/email-config/test","HANDLER","(no table)","(controller)","(no table)","","",""
"admin","GET","/api/v1/admin/push-config/","REPOSITORY","PushConfigRepository","findAll","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","GET","/api/v1/admin/push-config/active","REPOSITORY","PushConfigRepository","findActive","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","GET","/api/v1/admin/push-config/:id","REPOSITORY","PushConfigRepository","findById","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","POST","/api/v1/admin/push-config/","REPOSITORY","PushConfigRepository","deactivateAll","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","POST","/api/v1/admin/push-config/","REPOSITORY","PushConfigRepository","create","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","PUT","/api/v1/admin/push-config/:id","REPOSITORY","PushConfigRepository","findById","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","PUT","/api/v1/admin/push-config/:id","REPOSITORY","PushConfigRepository","deactivateAll","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","PUT","/api/v1/admin/push-config/:id","REPOSITORY","PushConfigRepository","update","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","DELETE","/api/v1/admin/push-config/:id","REPOSITORY","PushConfigRepository","delete","PushConfigRepository","system.push_config","system.push_config","system.push_config"
"admin","GET","/api/v1/admin/reference-data/:entity","HANDLER","REFERENCE_ENTITY_TABLES","(controller)","REFERENCE_ENTITY_TABLES","","",""
"admin","GET","/api/v1/admin/reference-data/:entity/:id","HANDLER","REFERENCE_ENTITY_TABLES","(controller)","REFERENCE_ENTITY_TABLES","","",""
"admin","POST","/api/v1/admin/reference-data/:entity","HANDLER","REFERENCE_ENTITY_TABLES","(controller)","REFERENCE_ENTITY_TABLES","","",""
"admin","PUT","/api/v1/admin/reference-data/:entity/:id","HANDLER","REFERENCE_ENTITY_TABLES","(controller)","REFERENCE_ENTITY_TABLES","","",""
"admin","DELETE","/api/v1/admin/reference-data/:entity/:id","HANDLER","REFERENCE_ENTITY_TABLES","(controller)","REFERENCE_ENTITY_TABLES","","",""
"admin","GET","/api/v1/admin/sms-config/","REPOSITORY","SmsConfigRepository","findAll","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","GET","/api/v1/admin/sms-config/active","REPOSITORY","SmsConfigRepository","findActive","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","GET","/api/v1/admin/sms-config/:id","REPOSITORY","SmsConfigRepository","findById","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","POST","/api/v1/admin/sms-config/","REPOSITORY","SmsConfigRepository","deactivateAll","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","POST","/api/v1/admin/sms-config/","REPOSITORY","SmsConfigRepository","create","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","PUT","/api/v1/admin/sms-config/:id","REPOSITORY","SmsConfigRepository","findById","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","PUT","/api/v1/admin/sms-config/:id","REPOSITORY","SmsConfigRepository","deactivateAll","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","PUT","/api/v1/admin/sms-config/:id","REPOSITORY","SmsConfigRepository","update","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","DELETE","/api/v1/admin/sms-config/:id","REPOSITORY","SmsConfigRepository","delete","SmsConfigRepository","system.sms_config","","system.sms_config"
"admin","GET","/api/v1/admin/system-config/:group","HANDLER","system.system_config","(controller)","system.system_config","","",""
"admin","PUT","/api/v1/admin/system-config/:group/:key","HANDLER","system.system_config","(controller)","system.system_config","","",""
"admin","GET","/api/v1/admin/stats","SERVICE","AdminService","getStats","AdminRepository","audit.audit_logs;committee.committee_meetings;committee.committees;committee.review_assignments;core.applications;core.projects;security.users","",""
"admin","GET","/api/v1/admin/audit-log","SERVICE","AdminService","getAuditLog","AdminRepository","audit.audit_logs;committee.committee_meetings;committee.committees;committee.review_assignments;core.applications;core.projects;security.users","",""
