"EntityType","Entity","Aggregates","Notes"
"Feature","Authentication & Registration","A18 Identity","Registration/authentication only; RLS registration policy note (I11)"
"Feature","Password Recovery","A18 Identity","password_reset_tokens runtime data class"
"Feature","User / Role / Permission Management","A18 Identity; A19 AccessControl","Roles/permissions/delegation owned by AccessControl"
"Feature","Institutions & Reference Data","A11 Reference; A17 Institution","institutions_registry/licenses_registry enrollment-gated"
"Feature","Applications","A01 Application","Central aggregate; RULE 11"
"Feature","Projects","A03 ResearchProject",""
"Feature","Conditions & Evidence","A02 Condition; A09 Document","RULE 12 evidence-delete matrix"
"Feature","Certificates & Public Verification","A07 Approval; A09 Document","certificate PDF generation gap"
"Feature","Document Management & Lifecycle","A09 Document","lifecycle state mandatory"
"Feature","E-Signatures","A10 E-Signature","digital certificates + document signatures"
"Feature","Committee Management","A04 Committee","membership/terms/conflicts"
"Feature","Committee Meetings","A05 Meeting","quorum/voting/minutes"
"Feature","Committee Reviews","A06 Review","assignment-before-outcome rule"
"Feature","Informed Consent","A01 Application; A11 Reference; A06 Review","application_consents + consent template library + consent review"
"Feature","Ethics Risk Assessment","A14 Safety","ethics_risk_* physically in committee schema"
"Feature","Accreditation","A08 Accreditation","9 tables physically in committee schema"
"Feature","Safety","A14 Safety","adverse events/risk register"
"Feature","Monitoring & Compliance","A15 Monitoring","11 tables seeded-failed"
"Feature","Workflow Engine","A20 Workflow","RULE 11 reachability source"
"Feature","Communication","A13 Communication","notifications + messages + announcements"
"Feature","Dynamic Forms","A16 Form","schema-driven form runtime"
"Feature","Templates Engine (forms library)","A12 Template","DEAD data - zero consumers (P9/I8)"
"Feature","Reporting & Dashboards","A22 Reporting","derived at runtime"
"Feature","System Configuration","A23 SystemConfiguration","runtime rules distinct from constitutional RULE_* framework"
"Feature","Audit & Data Integrity","A24 Audit","append-only + hash ledger"
"Feature","Integration","A21 Integration","outbox/retry runtime class"
"Feature","Saved Searches","A23 SystemConfiguration","saved_searches/search_indexes"
"Feature","Admin Operations (backup)","A23 SystemConfiguration; A25 Execution","backup provenance recorded by Execution aggregate"
"APIModule","admin","A23 SystemConfiguration; A25 Execution","47 routes"
"APIModule","committee","A04 Committee; A05 Meeting; A06 Review; A08 Accreditation","101 routes"
"APIModule","communication","A13 Communication","13 routes"
"APIModule","core","A01 Application; A03 ResearchProject; A02 Condition","34 routes"
"APIModule","documents","A09 Document; A07 Approval; A10 E-Signature; A12 Template","27 routes"
"APIModule","forms","A16 Form","19 routes"
"APIModule","integration","A21 Integration","2 routes"
"APIModule","monitoring","A15 Monitoring","6 routes"
"APIModule","public","A07 Approval","public certificate/document verification (3 routes)"
"APIModule","reference","A11 Reference; A17 Institution","3 routes"
"APIModule","reporting","A22 Reporting","7 routes"
"APIModule","safety","A14 Safety","14 routes"
"APIModule","security","A18 Identity; A19 AccessControl; A10 E-Signature; A17 Institution","30 routes"
"APIModule","system","A23 SystemConfiguration","5 routes"
"APIModule","workflow","A20 Workflow","4 routes"
"Registry","R1 Rule Registry","All aggregates (invariants); primary A01,A02,A09,A20","Rules sourced from aggregate Policies (Section 2)"
"Registry","R2 Constraint Registry","A01,A02,A09,A20 (first constraints)","RULE 11/12/lifecycle/reachability constraints"
"Registry","R3 Evidence Registry","All aggregates (as Evidence objects)","Aggregate model + dependency graph + natural keys registered as D3 evidence"
"Registry","R4 Verification Registry","A01,A02,A09,A20","EC3 + P3/I5 verification targets this model"
"Registry","R5 Gate Registry","All aggregates (construction gates)","Construction acceptance gates consume aggregate mapping"
"Registry","R6 Decision Registry","All aggregates","Records this constitutional amendment as a Decision"
"Registry","R7 Execution Registry","All aggregates (dependency-ordered construction)","P4/I6 aggregate dependency graph ordering"
"Registry","R8 Architecture State Registry","This document (as constitutional object)","Governs constitutional objects, not business aggregates"
"Registry","R9 Exception Registry","A18 Identity (I11 note)","SECURITY DEFINER workaround unrecorded exception - deferred"
"Registry","R10 Ownership Registry","All 25 aggregates","Content = aggregate-table-mapping.csv (234 rows)"
"Registry","R11 Vocabulary Registry","A11 Reference (vocabulary consumed by all)","Final vocabulary; terms used in this document registered"
