"Schema","Table","RowCount","Category","Phase","Status","ReadBy","WriteBy","Seeds"
"audit","audit_details","12852","Audit","RUNTIME","RUNTIME_ACCUMULATED (unread)","","","11-rls-fix.sql;18-audit-fix.sql"
"audit","audit_logs","22356","Audit","RUNTIME","SEEDED_AND_READ","AdminRepository;MonitoringRepository","","11-rls-fix.sql;18-audit-fix.sql;90-gen-test-data.sql"
"audit","entity_changes","0","Audit","RUNTIME","RUNTIME_OK (expected empty)","","",""
"audit","hash_ledger","0","Audit","RUNTIME","RUNTIME_OK (expected empty)","","",""
"committee","accreditation_assessment_items","0","Operational / Transactional","INSTALLATION","MISSING_DATA","AccreditationAssessmentRepository","AccreditationAssessmentRepository","33-accreditation-seed.sql"
"committee","accreditation_assessments","0","Operational / Transactional","INSTALLATION","MISSING_DATA","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository","AccreditationAssessmentRepository","33-accreditation-seed.sql"
"committee","accreditation_conditions","0","Operational / Transactional","INSTALLATION","MISSING_DATA","AccreditationConditionRepository;AccreditationCycleRepository","AccreditationConditionRepository","33-accreditation-seed.sql"
"committee","accreditation_cycle_metrics","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"committee","accreditation_cycles","0","Operational / Transactional","INSTALLATION","MISSING_DATA","AccreditationCycleRepository","AccreditationCycleRepository","33-accreditation-seed.sql"
"committee","accreditation_decisions","0","Operational / Transactional","INSTALLATION","MISSING_DATA","AccreditationCycleRepository;AccreditationDecisionRepository","AccreditationCycleRepository;AccreditationDecisionRepository","33-accreditation-seed.sql"
"committee","accreditation_evidence","0","Operational / Transactional","INSTALLATION","MISSING_DATA","AccreditationEvidenceRepository","AccreditationEvidenceRepository",""
"committee","accreditation_standard_versions","0","Reference Data","INSTALLATION","MISSING_DATA","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationEvidenceRepository","","33-accreditation-seed.sql"
"committee","accreditation_standards","0","Reference Data","INSTALLATION","MISSING_DATA","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationEvidenceRepository","","33-accreditation-seed.sql"
"committee","agenda_items","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","MeetingRepository","MeetingRepository","20-remaining-core-data.sql"
"committee","application_conditions","15","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","ConditionRepository","ConditionRepository","53-yemen-applications.sql"
"committee","attendance_logs","4","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_AND_READ","MeetingRepository","MeetingRepository","09-meetings-etc.sql;95-pilot-dataset.sql"
"committee","committee_meetings","2","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_AND_READ","AdminRepository;MeetingRepository;ReportingRepository","MeetingRepository","09-meetings-etc.sql;21-committee-expansion.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"committee","committee_member_roles","0","Reference Data","INSTALLATION","MISSING_DATA","CommitteeRepository","","03-committees.sql;21-committee-expansion.sql"
"committee","committee_members","57","Master Data","INSTALLATION","SEEDED_AND_READ","CommitteeRepository;ConditionRepository;MeetingRepository;MemberRepository","MemberRepository","03-committees.sql;21-committee-expansion.sql;53-yemen-applications.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"committee","committee_roles","5","Reference Data","INSTALLATION","SEEDED_AND_READ","CommitteeRepository;MeetingRepository;MemberRepository","","03-committees.sql"
"committee","committee_types","8","Reference Data","INSTALLATION","SEEDED_AND_READ","CommitteeRepository;MeetingRepository","","03-committees.sql;21-committee-expansion.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"committee","committees","8","Master Data","INSTALLATION","SEEDED_AND_READ","AccreditationCycleRepository;AdminRepository;ApplicationRepository;CertificateRepository;CommitteeRepository;FormInstanceRepository;MeetingRepository;ProjectRepository;ReportingRepository","CommitteeRepository","03-committees.sql;21-committee-expansion.sql;53-yemen-applications.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"committee","consent_review_comments","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","ApplicationConsentRepository;ConsentReviewRepository","ConsentReviewRepository","29-informed-consent.sql"
