Metric,Value,Source,Verified,Notes
"Database Schemas,14,DDL scripts / bootstrap/03_tables.sql,Yes,""audit, committee, communication, core, documents, integration, monitoring, reference, reporting, safety, security, system, workflow + public"""
"Database Tables (Bootstrap),209,bootstrap/03_tables.sql,Yes,""Auto-generated from canonical extraction"""
"Database Tables (Legacy Constraints),184,ethics_db_tables_constraints.sql,Yes,""Older file ��� 25 fewer tables than boo"""
"Database Functions (Canonical),30,database/canonical/functions/*,Yes,""6 files: committee, communication, documents, public, security, system"""
"Database Functions (Legacy),19,ethics_db_functions.sql,Yes,""Older file ��� 11 fewer functions than can"""
"RLS Policies,174+,Seed files,Yes,""Across all schemas"""
"Audit Triggers,209+,audit trigger seeds,Yes,""One per table"""
"Seed Files (SQL),80,backend/seed/*.sql,Yes,""80 .sql files + 3 non-SQL scripts"""
"Yemen Data INSERTs,~4118,Seeds 51-54,Yes,""Scenario/demo data only"""
"API Paths (OpenAPI),111,backend/openapi/openapi.yaml,Yes,""RESTful JSON endpoints"""
"API Modules (Backend),15,backend/src/modules/*,Yes,""security, core, committee, workflow, documents, communication, safety, reporting, admin, integration, monitoring, reference, system, forms, public"""
"API Route Files,27,backend/src/modules/*/routes/*,Yes,""Across 15 modules"""
"Backend Services,40,backend/src/services/*,Yes,""Including verification/ and watermark/ subdirectories"""
"Backend Repositories,39,backend/src/repositories/*,Yes,""Including base AuditableRepository"""
"Backend Middleware,6,backend/src/middleware/*,Yes,""auth, context, errorHandler, metrics, schemas, validate"""
"Frontend Pages,51,frontend/src/pages/**/*.tsx,Yes,""Across all domains"""
"Frontend Routes,47,frontend/src/App.tsx,Yes,""Public (6) + Protected (41)"""
"Frontend Components,24,frontend/src/components/**/*.tsx,Yes,""UI primitives (10) + composite (1) + root-level (10) + forms (3)"""
"Frontend Dependencies (Production),22,frontend/package.json,Yes,""React 19, Vite 8, Tailwind 4, i18next, etc."""
"Frontend Dependencies (Dev),14,frontend/package.json,Yes,""Vitest, Playwright, Testing Library, etc."""
