"Seed","CurrentType","Inserts","ArchitecturalRole","TargetBucket","Idempotent","SilentNoOpRisk","Notes"
"00-seed-tracker.sql","DDL","0","Infrastructure Script","scripts/infrastructure/","True","False",""
"00-truncate.sql","OTHER","0","Infrastructure Script","scripts/infrastructure/","False","False","non-idempotent"
"01-reference.sql","DATA","13","Reference Seed","seed/reference/","False","True","silent no-op risk; non-idempotent"
"02-users.sql","DATA","23","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"03-committees.sql","DATA","7","Scenario Seed","seed/scenarios/","True","True","silent no-op risk"
"04-documents.sql","DATA","1","Reference Seed","seed/reference/","False","False","non-idempotent"
"05-workflow.sql","DATA","3","Reference Seed","seed/reference/","False","True","silent no-op risk; non-idempotent"
"06-projects-apps.sql","DATA","8","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"07-workflow-instances.sql","DATA","19","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"08-reviews.sql","DATA","20","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"09-meetings-etc.sql","DATA","29","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"10-yemen-institutions.sql","DATA","28","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"11-rls-fix.sql","MIXED","3","Patch Seed","patches/","True","False","MIXED responsibilities (DDL+data in one file) — split target"
"12-soft-delete.sql","DDL","0","Migration","migrations/","True","False",""
"13-audit-triggers.sql","DDL","0","Migration","migrations/","True","False",""
"13-data-dictionary.sql","OTHER","0","Infrastructure Script","scripts/infrastructure/","False","False","non-idempotent"
"14-rls-complete.sql","DDL","0","Migration","migrations/","True","False",""
"15-rls-select-policy-fix.sql","DDL","0","Patch Seed","patches/","True","False",""
"16-pagination-indexes.sql","DDL","0","Migration","migrations/","True","False",""
"16-rls-communication.sql","DDL","0","Migration","migrations/","True","False",""
"16-rls-enable.sql","OTHER","0","Infrastructure Script","scripts/infrastructure/","False","False","non-idempotent"
"17-rls-cud-policies.sql","DDL","0","Migration","migrations/","True","False",""
"17-safety-data.sql","DATA","36","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"18-audit-fix.sql","MIXED","3","Patch Seed","patches/","True","False","MIXED responsibilities (DDL+data in one file) — split target"
"18-monitoring-data.sql","DATA","28","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"19-additional-communication.sql","DATA","13","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"20-remaining-core-data.sql","DATA","77","Scenario Seed","seed/scenarios/","False","True","silent no-op risk; non-idempotent"
"21-committee-expansion.sql","DATA","81","Scenario Seed","seed/scenarios/","True","True","silent no-op risk"
"22-add-member-roles.sql","DDL","0","Migration","migrations/","True","False",""
"23-add-audit-columns.sql","DDL","0","Migration","migrations/","True","False",""
"24-prod-readiness-fixes.sql","DDL","0","Migration","migrations/","True","False",""
"25-rls-monitoring-reporting.sql","DDL","0","Migration","migrations/","True","False",""
"26-reference-data-crud.sql","MIXED","1","Migration","migrations/","True","False","MIXED responsibilities (DDL+data in one file) — split target"
"27-notification-channel-config.sql","DDL","0","Migration","migrations/","True","False",""
"28-ethics-risk-assessment.sql","MIXED","8","Scenario Seed","seed/scenarios/","True","True","MIXED responsibilities (DDL+data in one file) — split target; silent no-op risk"
"29-informed-consent.sql","MIXED","28","Scenario Seed","seed/scenarios/","True","True","MIXED responsibilities (DDL+data in one file) — split target; silent no-op risk"
"30-rls-ethics-risk.sql","DDL","0","Migration","migrations/","True","False",""
"31-accreditation-schema.sql","DDL","0","Migration","migrations/","True","False",""
"32-accreditation-rls.sql","DDL","0","Migration","migrations/","True","False",""
"33-accreditation-seed.sql","DATA","17","Scenario Seed","seed/scenarios/","True","True","silent no-op risk"
"33-fix-register-rls.sql","MIXED","1","Patch Seed","patches/","False","False","MIXED responsibilities (DDL+data in one file) — split target; non-idempotent"
"34-documents-insert-rls.sql","DDL","0","Patch Seed","patches/","True","False",""
"35-reference-add-statuses.sql","DATA","3","Reference Seed","seed/reference/","True","True","silent no-op risk"
"36-workflow-add-states.sql","DATA","5","Reference Seed","seed/reference/","False","True","silent no-op risk; non-idempotent"
"37-workflow-add-transitions.sql","DATA","18","Reference Seed","seed/reference/","False","True","silent no-op risk; non-idempotent"
"38-workflow-add-constraints.sql","OTHER","0","Migration","migrations/","True","False",""
"40-init-workflow-idempotent.sql","MIXED","1","Migration","migrations/","True","False","MIXED responsibilities (DDL+data in one file) — split target"
"41-application-conditions.sql","MIXED","1","Migration","migrations/","True","True","MIXED responsibilities (DDL+data in one file) — split target; silent no-op risk"
"42-fix-workflow-init-rls.sql","DDL","0","Patch Seed","patches/","True","False",""
"43-fix-workflow-update-rls.sql","DDL","0","Patch Seed","patches/","True","False",""
"44-fix-terminal-states.sql","OTHER","0","Patch Seed","patches/","False","False","non-idempotent"
"45-certificates.sql","MIXED","2","Migration","migrations/","True","False","MIXED responsibilities (DDL+data in one file) — split target"
"46-certificate-rls-hotfix.sql","DDL","0","Patch Seed","patches/","True","False",""
"47-public-verify-function.sql","DDL","0","Migration","migrations/","False","False","non-idempotent"
"48-notification-source-columns.sql","DDL","0","Migration","migrations/","True","False",""
"49-notification-preferences.sql","DDL","0","Migration","migrations/","True","False",""
"50-notification-logs-rls-fix.sql","DDL","0","Patch Seed","patches/","True","False",""
"50-yemen-institutions.sql","DATA","2","Demo Fixture","seed/fixtures/demo/","True","True","silent no-op risk"
