"Schema","Table","RowCount","PopulationStatus","BusinessModule","BusinessCritical","Seeded","Notes","PK","FKs","ReferencedBy"
"audit","audit_details","12852","Well Populated","Auditing","Yes","Known","","True","1","0"
"audit","audit_logs","22356","Well Populated","Auditing","Yes","Known","","True","1","1"
"audit","entity_changes","0","Empty","Auditing","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"audit","hash_ledger","0","Empty","Auditing","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"committee","accreditation_assessment_items","0","Empty","Accreditation","No","Known","seed 33 no-op (APP-2024 anchor) - should contain data","True","2","1"
"committee","accreditation_assessments","0","Empty","Accreditation","No","Known","seed 33 no-op (APP-2024 anchor) - should contain data","True","2","2"
"committee","accreditation_conditions","0","Empty","Accreditation","No","Known","seed 33 no-op (APP-2024 anchor) - should contain data","True","5","0"
"committee","accreditation_cycle_metrics","0","Empty","Accreditation","No","Unknown","seed 33 no-op (APP-2024 anchor) - should contain data","True","1","0"
"committee","accreditation_cycles","0","Empty","Accreditation","No","Known","seed 33 no-op (APP-2024 anchor) - should contain data","True","4","5"
"committee","accreditation_decisions","0","Empty","Accreditation","No","Known","seed 33 no-op (APP-2024 anchor) - should contain data","True","2","0"
"committee","accreditation_evidence","0","Empty","Accreditation","No","Unknown","seed 33 no-op (APP-2024 anchor) - should contain data","True","4","0"
"committee","accreditation_standard_versions","0","Empty","Accreditation","No","Known","seed 33 no-op (APP-2024 anchor) - should contain data","True","1","4"
"committee","accreditation_standards","0","Empty","Accreditation","No","Known","seed 33 no-op (APP-2024 anchor) - should contain data","True","0","1"
"committee","agenda_items","0","Empty","Meetings","No","Known","Should contain seed data - empty (see report §11.1)","True","2","0"
"committee","application_conditions","15","Partial","Conditions","Yes","Known","","True","5","0"
"committee","attendance_logs","4","Minimal","Meetings","No","Known","","True","2","0"
"committee","committee_meetings","2","Minimal","Committees","No","Known","","True","1","5"
"committee","committee_member_roles","0","Empty","Committees","Yes","Known","Should contain seed data - empty (see report §11.1)","True","2","0"
"committee","committee_members","57","Partial","Committees","Yes","Known","","True","3","4"
"committee","committee_roles","5","Minimal","Committees","Yes","Known","","True","0","2"
"committee","committee_types","8","Minimal","Committees","Yes","Known","","True","0","1"
"committee","committees","8","Minimal","Committees","Yes","Known","","True","2","5"
"committee","consent_review_comments","0","Empty","Informed Consent","No","Known","Expected empty (see report §11.2)","True","2","0"
"committee","consent_template_versions","0","Empty","Informed Consent","No","Known","Should contain seed data - empty (see report §11.1)","True","2","1"
"committee","consent_templates","0","Empty","Informed Consent","No","Known","Should contain seed data - empty (see report §11.1)","True","0","1"
"committee","ethics_reviews","67","Partial","Committee","Yes","Known","","True","2","1"
"committee","ethics_risk_assessments","0","Empty","Ethics Risk","No","Known","Should contain seed data - empty (see report §11.1)","True","4","1"
"committee","ethics_risk_items","0","Empty","Ethics Risk","No","Known","Should contain seed data - empty (see report §11.1)","True","2","0"
"committee","meeting_agendas","1","Minimal","Meetings","No","Known","","True","1","1"
"committee","meeting_minutes","0","Empty","Meetings","No","Known","Should contain seed data - empty (see report §11.1)","True","2","0"
"committee","member_conflicts","0","Empty","Committee Members","No","Unknown","Should contain seed data - empty (see report §11.1)","True","1","0"
"committee","member_qualifications","0","Empty","Committee Members","No","Unknown","Should contain seed data - empty (see report §11.1)","True","2","0"
"committee","member_terms","0","Empty","Committee Members","No","Unknown","Should contain seed data - empty (see report §11.1)","True","1","0"
"committee","quorum_logs","0","Empty","Meetings","No","Known","Should contain seed data - empty (see report §11.1)","True","1","0"
"committee","review_answers","0","Empty","Reviews","No","Known","Should contain seed data - empty (see report §11.1)","True","1","0"
