EvidenceID,Decision,Category,Claim,SourceArtifact,SourceLocation,Label,Status
C6EV-01,C6,Exception registry state,"R9 KNOWN_PRECEDENTS contains exactly one entry: PRECEDENT-I11-SECURITY-DEFINER with targetElement I11, status Unrecorded, authority 'Unrecorded - pending ADR review (deferred, not Phase 1 work)', scope 'registration only', expiry 'Not defined'.","backend/src/governance/registries/exception.registry.ts","KNOWN_PRECEDENTS array, lines 24-34","REPOSITORY FACT",VERIFIED
C6EV-02,C6,Exception registry state,"EXCEPTIONS array is empty - no sanctioned exception is recorded.","backend/src/governance/registries/exception.registry.ts","EXCEPTIONS, line 37","REPOSITORY FACT",VERIFIED
C6EV-03,C6,I11 rule registry state,"R1 I11: rule text 'RLS is the sole access-control mechanism; never disabled never bypassed'; constraintLink Present-Partial ('RLS policies present; never-bypassed mapped'); evidenceLink Present (174+ policies + app.user_id context); verificationLink Present-Partial ('DB enforces RLS; bypass detection mapped'); classification 'Automatically verifiable (with documented bypass)'.","backend/src/governance/registries/rule.registry.ts","I11 element, lines 67-74","REPOSITORY FACT",VERIFIED
C6EV-04,C6,I11 violation in baseline,"Stress test rules I11 already violated in the accepted baseline: registration via security.fn_register_user (SECURITY DEFINER) bypasses RLS; sanctioned fix 33-fix-register-rls.sql is a documented RLS bypass justified by a PostgreSQL 18.3 Windows policy bug; 'the precedent authorizes future SECURITY DEFINER workarounds'.","docs/architecture-constitution-stress-test.md","Section 3, I11 row (line 84); result (line 86); finding 2 (line 131)","REPOSITORY FACT",VERIFIED
C6EV-05,C6,P3-I11 conflict,"Stress test cross-principle conflict: P3/I5 require RULE 12 to live in a single authoritative model; I11 requires RLS to be the sole access-control mechanism; RULE 12 IS an access-control decision; 'Genuine conflict. The constitution mandates two homes for the same invariant and does not reconcile them.'","docs/architecture-constitution-stress-test.md","Section 2, cross-principle conflict P3 vs I11 (line 62); no-precedence note (line 64)","REPOSITORY FACT",VERIFIED
C6EV-06,C6,P3/I5/I11 texts,"ADR-002 P3 (Aggregate ownership), I5 (aggregate invariants expressible in a single authoritative model and assertable by verification), I11 (schema/RLS/data distinct; RLS sole access control; never disabled never bypassed).","docs/architecture/adr/ADR-002-canonical-dataset-architecture.md","Section 3 P3 (line 71); Section 5 I5 (line 118), I11 (line 124)","CONSTITUTIONAL REQUIREMENT",VERIFIED
C6EV-07,C6,RLS home for RULE 12,"RULE 12 evidence-DELETE matrix is expressed in RLS policy WHERE clauses: documents.documents policies, FOR DELETE USING (false), document_access, security.user_roles. Physical DELETE always blocked at DB level.","AGENTS.md; docs/architecture/challenge-review.md; docs/architecture/root-cause-analysis.md","AGENTS.md 'RULE 12 - Document Ownership Semantics' policy matrix; challenge-review RULE 12 rows; root-cause B3","REPOSITORY FACT",VERIFIED
C6EV-08,C6,Aggregate home for RULE 12,"DOMAIN_MODEL.md provides the aggregate home: A02 Condition aggregate carries 'RULE 12 evidence-DELETE four-factor matrix'; A09 Document carries 'RULE 12 evidence residence'; V4 (RULE 12 crosses A01/A02/A09/A18); R2 (constraint per aggregate invariant). DOMAIN_MODEL section 8 states I5 is satisfiable. V8 records P3 vs I11 conflict as out of scope for that document.","docs/architecture/DOMAIN_MODEL.md","A02, A09, V4, V8, Section 8 (lines ~42-48, 357)","REPOSITORY FACT",VERIFIED
C6EV-09,C6,SECURITY DEFINER surface count,"Repository-wide SECURITY DEFINER occurrences: schema_only_dump.sql 27; ethics_db_schema.sql 15; ethics_db_tables_constraints.sql 15; scripts/db-schema-tables.sql 14; scripts/db-schema-full.sql 14; backend/schema_only_dump.sql 13.","schema_only_dump.sql; ethics_db_schema.sql; ethics_db_tables_constraints.sql; scripts/db-schema-tables.sql; scripts/db-schema-full.sql; backend/schema_only_dump.sql","Grep of SECURITY DEFINER across the 6 files","REPOSITORY FACT",VERIFIED
C6EV-10,C6,SECURITY DEFINER function inventory,"Functions: security.fn_register_user, security.fn_authenticate, security.fn_reset_password, security.fn_verify_email; system.fn_apply_audit_triggers, fn_auto_transition, fn_calculate_quorum, fn_check_sla, fn_create_snapshot, fn_current_user_id, fn_generate_application_number, fn_generate_project_code, fn_init_workflow, fn_is_admin, fn_is_committee_member_for_application, fn_log_audit, fn_notify_status_change; committee.fn_cycle_created_by, fn_get_cycle_committee_id, fn_is_admin_or_cycle_creator_or_committee_admin, fn_is_assessor_for_cycle, fn_user_can_access_assessment, fn_user_can_access_cycle; documents.fn_get_certificate_verification.","schema_only_dump.sql; ethics_db_schema.sql","CREATE FUNCTION lines adjacent to SECURITY DEFINER","REPOSITORY FACT",VERIFIED
