Subsystem,BoundaryClaim,Evidence,OverlapOrCoupling,Verdict
core.applications,"Core domain layer L3 primary owner","FK fan-out 26x (ethics_db_schema.sql)",Read/written by committee, documents, workflow, forms; RULE 12 ownership chain spans 4 modules,REJECTED - cross-cutting anchor, not core-layer owned
security.users,"Security domain primary owner","FK fan-out 66x highest in system",Every module writes audit columns (created_by/submitted_by/updated_by); registration via SECURITY DEFINER bypass,REJECTED - unbounded shared anchor
documents.documents,"Documents domain L5 primary owner","FK fan-out 7x; lifecycle_state_id NOT NULL (58-gate0-document-lifecycle.sql)",Couples documents to workflow module; AGENTS.md places gate under core; evidence DELETE authority derived from parent workflow entity (RULE 12),REJECTED - ownership split across workflow/core/documents
workflow.workflows + workflow_instances,"Workflow module L6 owner of definitions/instances","FK fan-out 6x each; committee accreditation defs",Business DAG nodes here; seed execution DAG order is numeric not semantic; divergence documented in S4,ACCEPTED for schema; REJECTED as seed-ordering authority
committee.committee_meetings,"Committee module owner","FK fan-out 5x; 607 rows second-largest populated",Minutes documents cross-read; committee lifecycle (creation-meeting-resolution) never asserted,ACCEPTED with cross-domain reader coupling
monitoring.*,"No owner - seed-only tables","No repository and no route touch monitoring.*",Zero consumers; app monitoring served by audit.audit_logs/security.users/system.system_config routes,REJECTED - boundary undefined; dead weight
reporting.*,"Reporting module L16 owner","Materialized views dead (reporting EMPTY-ish)",No populated upstream in current dataset; boundary holds vacuously,ACCEPTED but unproven (vacuous)
templates.*,"Reference/feature data owner","Zero consumers in 315-route traceability",Dead domain object counted in 28-feature completeness,REJECTED - dead feature retained in canonical data
core.applications_conditions,"Condition sub-domain","RULE 12 condition ownership factor",Application ownership + condition ownership + workflow state + user role form the 4-factor matrix; no aggregate anchor,REJECTED - implicit aggregate with no schema boundary
certificates.*,"Certificates domain owner","57 certificates in canonical; certificates.sdk.ts hardcodes applicationId=0",Application linkage not enforced at SDK/domain model level,ACCEPTED for schema; REJECTED for linkage enforcement
communication.*,"Communication module owner","12 empty-table routes; fan-out consumer",Crosses every domain; no position in linear seed chain; must be last or derived,ACCEPTED for schema; REJECTED for seed ordering
infrastructure (00-truncate/00-seed-tracker),"Infra L0 isolated","00-truncate.sql wipes Era-1 data",Tracker still records Era-1 as success - boundary conflict with S1-A1,REJECTED - isolation broken by tracker provenance
