RiskID,Area,Probability,Impact,DifficultyToFix,Description,MitigationReference
R1,Execution,5,5,4,ops.seed_tracker state is dump-restored (identical applied_at 2026-08-04, duration_ms=0); replay decisions based on tracker trust are unsound,"S1-A1; SREA Phase 1: rebuild registry provenance from verified execution, treat current rows as untrusted"
R2,Reproducibility,5,4,5,Full-suite determinism from seed SQL never achieved due to Era-1 dead anchors (8 seeds reference APP-2024-*) and dual incompatible lineages (demo vs Yemen),"S1-A2/A3/A4; S10 condition 2; dead-data removal stage in SREA"
R3,Verification,5,4,4,Business-correctness never asserted: RULE 11 reachability, RULE 12 evidence DELETE matrix, committee lifecycle, notifications, long-running transitions,"S8; S10 condition 2; verification engine must assert behavior not only integrity"
R4,Dataset Lifecycle,4,4,4,Multi-institution RC4 objective blocked: no promotion/deprecation/branch/merge/archive stages defined,"S6; S10 condition 3"
R5,Maintenance,5,3,3,Dead-data inflation: templates.* (0 consumers), monitoring.* (no repo/route), Era-1 anchors, 81 SEED_ONLY tables (27 populated dead-only, 1417 rows), 35 UNUSED tables,"S3/S5/S9; S10 condition 4: define removal/archival path"
R6,Idempotency,3,4,3,Scope-key deletes under RLS may silently fail; deny-list of 15 runtime tables asserted complete not proven complete,"S1-A5; SREA idempotency design must prove deny-list completeness"
R7,Operations,4,3,3,Operational modes unsupported: incremental upgrade, offline fresh install (Path B/C broken), multi-tenant, environment promotion,"S7; installation-readiness Path A only"
R8,Domain Model,4,3,4,Aggregate-boundary debt: invariants distributed across policies/repos/services; terminal state derived not stored; 292 table-per-repo mappings,"S3; aggregate-boundary work required before authorization refactors"
R9,Evolution,4,3,4,Append-only ledger is a change log not change management; every future change requires dual implementation (data + registry/checksum/dependency),"S5; governance processes undefined for add-schema/add-feature/retire-feature/dataset-v2"
R10,Architecture Drift,3,4,5,Gate-0 dump becomes the only trusted artifact and the seed suite is abandoned, drifting from seed-as-truth goal,"S1-A10; S9 top risk following unresolved R1/R2; keep analysis artifacts authoritative"
R11,Trust,3,5,4,Single deterministic path (baseline-restore) conflates reproducibility by restoration with reproducibility by construction,"S1-A10; S10: reproducible construction required for RC4"
R12,Integration,3,4,4,Integration module EMPTY (30 tables, out of RC4 scope) but counted in coverage matrices; silent no-op risk extends to future scope,"feature-data-coverage; change-impact S5; scope must be explicit"
R13,SDK,3,3,3,Frontend SDK hardcodes applicationId=0 in certificates.sdk.ts; page flows (51 pages) never asserted,"S1-A9; frontend behavioral tests required before RC4 UAT"
R14,RLS,2,5,4,Schema evolution must not disable RLS; new tables need policy coverage but no mechanism enforces policy-per-table parity,"AGENTS.md security constraints; SREA verification must check RLS policy existence per table"
R15,Schema,4,3,4,documents.lifecycle_state_id NOT NULL without default couples documents to workflow; future schema changes compound the dual-implementation burden,"AGENTS.md 58-gate0-document-lifecycle; S4 divergence"
