Domain,Feature,Status,Backend Evidence,Frontend Evidence,Database Evidence,API Evidence,Test Evidence,Notes
Authentication,JWT Login,Implemented,auth.service.ts,LoginPage.tsx,security.users,POST /auth/login,Vitest tests,Access + refresh tokens
Authentication,Email Verification,Implemented,auth.service.ts,VerifyEmailPage.tsx,security.users,POST /auth/verify-email,Vitest tests,OTP-based verification
Authentication,Password Reset,Implemented,auth.service.ts,ForgotPasswordPage.tsx,security.users,POST /auth/forgot-password,Vitest tests,Email-based reset
Authentication,Argon2 Hashing,Implemented,config/env.ts,—,security.users,—,Verified in code,Salt >= 12
Users,User CRUD,Implemented,users.service.ts,Users/List.tsx,security.users,GET/POST/PUT/DELETE /users,Vitest tests,Full CRUD
Users,User Profiles,Implemented,users.service.ts,ProfilePage.tsx,security.users,GET /users/:id,Vitest tests,View and edit
Users,User Search,Implemented,users.service.ts,UserList.tsx,security.users,GET /users?search,Vitest tests,Name/email search
Roles,RBAC Enforcement,Implemented,middleware/rbac.ts,—,security.roles + security.role_permissions,All protected endpoints,Vitest tests,8 roles defined
Roles,Role Management,Implemented,roles.service.ts,RoleList.tsx,security.roles,GET/POST /roles,Vitest tests,Admin only
Institutions,Institution CRUD,Implemented,institutions.service.ts,—,core.institutions,GET/POST /institutions,Vitest tests,Seed data available
Institutions,Institution Admins,Implemented,institution.service.ts,—,core.institution_admins,POST /institutions/:id/admins,Vitest tests,Admin assignment
Projects,Project CRUD,Implemented,project.service.ts,ProjectCreate.tsx,core.projects,GET/POST/PUT /projects,Vitest tests,Full lifecycle
Projects,Project Members,Implemented,project.service.ts,ProjectDetail.tsx,core.project_members,POST /projects/:id/members,Vitest tests,Collaboration support
Applications,Application CRUD,Implemented,application.service.ts,ApplicationCreate.tsx,core.applications,GET/POST/PUT /applications,Vitest tests,Full lifecycle
Applications,Status Tracking,Implemented,workflow.service.ts,ApplicationDetail.tsx,workflow.workflow_instances,GET /applications/:id,Vitest tests,Real-time status
Documents,Document Upload,Implemented,document.service.ts,DocumentsPage.tsx,documents.documents,POST /documents,Vitest tests,File + metadata
Documents,Document Types,Implemented,document.service.ts,DocumentsPage.tsx,documents.document_types,GET /documents/types,Vitest tests,Configurable types
Documents,Checksum Verification,Implemented,checksum.service.ts,—,documents.document_signatures,GET /documents/:id/checksum,Vitest tests,SHA-256
Documents,Document Lifecycle,Partially Implemented,document-lifecycle.service.ts,—,documents.document_lifecycle,—,Partial,Structural only
Documents,Retention Rules,Structural,—,—,documents.document_retention_rules,—,Not tested,No enforcement demonstrated
Documents,Watermarking,Structural,watermark.service.ts,—,documents.document_watermarks,—,Partial,Engine exists
Committees,Committee CRUD,Implemented,committee.service.ts,Committees.tsx,committee.committees,GET/POST /committees,Vitest tests,Full lifecycle
Committees,Cycle Management,Implemented,cycle.service.ts,CommitteeDetail.tsx,committee.committee_cycles,GET/POST /committees/:id/cycles,Vitest tests,Dated cycles
