Term,ADR002Meaning,ConflictingUsages,AffectedDocuments,Ambiguity,Note
Seed,"An individual SQL file in backend/seed/ (79 files) - a historical-record artifact",Also future construct units: seeds/ tree (SREA); reference seed; scenario seed; patch seed (canonical-spec, normalization-review),SREA; canonical-seed-specification; normalization-review; AGENTS.md,HIGH,Same word for legacy artifact and future construct
Seed Suite,"The 79-file numeric collection - the Installer History","Also the future managed collection (rc4-final-assessment: seed suite reduced to reference seeds + scenario fixtures)",rc4-final-assessment; seed-quality-report; seed-architecture-review,MEDIUM,Two referents: legacy ledger and future managed set
Canonical Seed,Not a term of art; the ADR product term is Canonical Dataset,"NEW canonical seed tree (SREA); canonical seed specification (filename)",SREA; canonical-seed-specification,HIGH,The term itself embeds the superseded worldview (dataset as a kind of seed)
Canonical Dataset,"THE product; the source of truth (P1)","Same intent in normalization-review F7 and canonical-spec section 2 (Yemen lineage); but no product boundary specified",ADR-002; normalization-review; canonical-seed-specification; challenge-review,LOW within ADR / MEDIUM across docs,The constitutional term; needs concrete product boundary (G3)
Installer History,"The role of the seed suite - an append-only change ledger",None - used only in ADR-002 and root-cause analysis,ADR-002; root-cause-analysis,LOW,Defined once
Dataset,Generic word,"validation dataset (dataset-architecture); pilot dataset (seed 95); realistic data (96); demo dataset - overloaded between product-definition and scenario fixture",dataset-architecture; canonical-spec; normalization-review,MEDIUM,Distinguish product-dataset from scenario-fixture
Baseline,"A reproducible dataset STATE (I3); distinct from a dump","Gate-0 baseline (dump artifact); baseline restore (mechanism); baseline freeze (milestone)",installation-readiness; rc4-final-assessment; SREA; change-impact-analysis,MEDIUM-HIGH,Artifact/state/milestone conflated
Scenario,Not defined in ADR-002,"Scenario Seed category (15 seeds, canonical-spec); scenarios bucket (SREA); business scenario (normalization-review)",canonical-spec; SREA; normalization-review,MEDIUM,Overlaps with fixture
Reference,Reference data / Reference Seed (idempotent environment-invariant),Consistent across docs,normalization-review; canonical-spec; SREA,LOW,Least ambiguous seed term
Fixture,Not defined in ADR-002,"Demo Fixture (6); Test Fixture (2); Pilot Fixture; delta fixture over canonical (normalization-review); fixtures/demo|pilot|test buckets (SREA)",normalization-review; canonical-spec; SREA,MEDIUM-HIGH,Overlaps with scenario; category boundary undefined
Runtime,Not defined in ADR-002 (implied by I11: application-produced data),"Runtime-accumulated rows excluded from dataset (canonical-spec); runtime-generated only (normalization-review); Form Runtime = schema-driven form ENGINE (Gate-1 plan)",canonical-spec; normalization-review; gate1 plan,HIGH,Data-class vs engine - two meanings
Business Object,Not defined; ADR uses business identity (P6),"DOMAIN_MODEL defines business entities; business object undefined and unused in seed docs",DOMAIN_MODEL,HIGH,Term exists without definition
Aggregate,"The authoritative invariant model (P3 P6 I5 I10)","Not defined in DOMAIN_MODEL (terminology constitution); no concrete aggregate root named for Application/Condition",ADR-002; root-cause-analysis; DOMAIN_MODEL,HIGH,Constitutional term absent from the terminology constitution (G1)
Domain,Not defined in ADR-002,Three levels: business domains (DOMAIN_MODEL 9 bounded contexts); domain modules (AGENTS 13); domain schemas (14),DOMAIN_MODEL; AGENTS.md,MEDIUM,Three coexist
Canonical Lineage,Part of the Canonical Dataset (Yemen lineage),Distinct from Canonical Dataset term,normalization-review F7,MEDIUM,Related but distinct term
Canonical Schema,Not in ADR-002,Sole authority for database structure (dataset-architecture; database-canonicalization),dataset-architecture; database-canonicalization-report,MEDIUM,Third canonical referent (schema vs dataset vs lineage)
Gate-0,Not in ADR-002,Both a milestone (Gate-0 baseline) and a dump filename (gate0-baseline-2026-08-04.dump),installation-readiness; rc4-final-assessment; AGENTS.md,MEDIUM,Milestone and artifact conflated
Era-1/2/3,Not in ADR-002,Consistent use across seed-architecture-review and rc4-final-assessment,seed-architecture-review; rc4-final-assessment,LOW,Consistent
Dump,Not in ADR-002,"Carrier/mechanism not a dataset (normalization-review) - aligned with ADR C2",normalization-review; installation-readiness,LOW,Aligned
