"Feature","Status","Routes","RoutesReadingEmpty","EmptyTables","Gaps"
"Authentication & Registration","Fully operational","7","7","security.password_reset_tokens",""
"Password Recovery","Fully operational (runtime tokens)","3","3","security.password_reset_tokens",""
"User / Role / Permission Management","Fully operational","10","0","","role_delegations (0), approval_authorities/limits (0), segregation_rules (0)"
"Institutions & Reference Data","Fully operational","5","0","","reference.licenses_registry (0) -> GET /reference/licenses returns empty"
"Applications","Partially operational","18","9","documents.approval_certificate_documents;workflow.workflow_sla","renewal_requests,closure_requests,amendment_requests,application_checklists,application_sections,application_validations = 0 (runtime-only)"
"Projects","Fully operational","4","0","","project_attachments,project_site_investigators,project_tags,project_versions = 0"
"Conditions & Evidence","Fully operational","5","0","",""
"Certificates & Public Verification","Partially operational","9","1","documents.approval_certificate_documents","documents.approval_certificate_documents (0) -> certificate PDFs unavailable; certificates.sdk hardcodes appId=0"
"Document Management & Lifecycle","Partially operational","22","0","","document_approvals (0), document_disposal_logs (0), document_signatures (2 only)"
"E-Signatures","Structurally complete but data missing","22","0","","security.digital_certificates (0), certificate_revocations (0)"
"Committee Management","Partially operational","9","9","committee.agenda_items;committee.committee_member_roles;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_scores","committee_member_roles (0), member_terms (0), member_qualifications (0), member_conflicts (0)"
"Committee Meetings","Partially operational","15","15","committee.agenda_items;committee.committee_member_roles;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_scores","agenda_items (0), meeting_minutes (0), quorum_logs (0)"
"Committee Reviews","Partially operational","11","11","committee.agenda_items;committee.committee_member_roles;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_scores","review_answers (0), review_scores (0)"
"Informed Consent","Structurally complete but data missing","13","13","committee.consent_review_comments;committee.consent_template_versions;committee.consent_templates;core.application_consents","consent_templates,consent_template_versions,core.application_consents,consent_review_comments = all 0 (seed 29 failed)"
"Ethics Risk Assessment","Structurally complete but data missing","7","7","committee.ethics_risk_assessments;committee.ethics_risk_items;safety.risk_categories","ethics_risk_assessments,ethics_risk_items,safety.risk_categories = all 0 (seed 28 failed)"
"Accreditation","Structurally complete but data missing","15","15","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","9 accreditation tables all 0 (seed 33 failed)"
"Safety","Structurally complete but data missing","8","8","safety.adverse_events;safety.corrective_actions;safety.risk_incidents;safety.risk_mitigations;safety.risk_register;safety.safety_reports;safety.serious_adverse_events","13 safety tables all 0 (seeds 17/90/95/96 failed)"
"Monitoring & Compliance","Structurally complete but data missing","6","0","","11 monitoring tables all 0 (seed 18 failed); no UI pages; monitoring.sdk unused by pages"
"Workflow Engine","Partially operational","4","4","workflow.workflow_sla","workflow_sla (0), tasks/escalations/schedulers/triggers/events/variables (0)"
"Communication","Partially operational","11","10","communication.message_attachments","message_attachments (0), announcements (0), user_notification_preferences (0)"
"Dynamic Forms","Fully operational","16","0","",""
"Templates Engine (forms library)","Data exists but feature missing","20","0","","templates.* populated by seed 55 but NEVER read by any repository class"
"Reporting & Dashboards","Partially operational","1","0","","analytics_snapshots,kpi_results,report_executions = 0 (derived at runtime)"
"System Configuration","Partially operational","12","3","system.push_config","system.push_config (0), feature_flags (0), business_rules + rule_* (0)"
"Audit & Data Integrity","Partially operational","2","0","","audit_logs(22356)/audit_details(12852) populated but never read by repos; hash_ledger (0), entity_changes (0)"
"Integration","Structurally complete but data missing","2","2","integration.integration_logs","external_systems,webhooks,credentials,data_sync_jobs,event_subscriptions,retry_queue,integration_logs = 0; only event_outbox (30)"
"Saved Searches","Fully operational","3","0","",""
"Admin Operations (backup)","Fully operational","6","0","",""
