"Schema","Table","RowCount","Category","SeedingPolicy","PrevClass","BackendUsage","HasSeed"
"audit","audit_details","12852","Audit","Must never be seeded","Audit","SEED_ONLY","True"
"audit","audit_logs","22356","Audit","Must never be seeded","Audit","READ_ONLY","True"
"audit","entity_changes","0","Audit","Must never be seeded","Audit","SEED_ONLY","False"
"audit","hash_ledger","0","Audit","Must never be seeded","Audit","UNUSED","False"
"committee","accreditation_assessment_items","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","accreditation_assessments","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","accreditation_conditions","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","accreditation_cycle_metrics","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","False"
"committee","accreditation_cycles","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","accreditation_decisions","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","accreditation_evidence","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","False"
"committee","accreditation_standard_versions","0","Reference Data","Must always contain seed data","History","READ_ONLY","True"
"committee","accreditation_standards","0","Reference Data","Must always contain seed data","Transactional","READ_ONLY","True"
"committee","agenda_items","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","application_conditions","15","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","attendance_logs","4","Operational / Transactional","May contain seed data (scenario/demo only)","History","QUERIED","True"
"committee","committee_meetings","2","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"committee","committee_member_roles","0","Reference Data","Must always contain seed data","Lookup","READ_ONLY","True"
"committee","committee_members","57","Master Data","May contain seed data","Transactional","QUERIED","True"
"committee","committee_roles","5","Reference Data","Must always contain seed data","Lookup","QUERIED","True"
"committee","committee_types","8","Reference Data","Must always contain seed data","Lookup","QUERIED","True"
