ADR,Decision,Source,Constitutional Object,Invariant,Registry,Specification,Relationship,Verification,Phase-4 Impact,Status
ADR-003,Propose bounded I11 SECURITY DEFINER exception (C6-C); scope = 28 live functions,C6-security-definer-final-audit.md; C6-security-definer-inventory.csv; ADR-BOARD-C6-PQ1-DECISION-PACKAGE.md §6,Exception (D6); Rule I11 (D1); Decision (D6),I11; R9,R9 exception record (proposed; EXCEPTIONS empty today),SPEC-EXCEPTION (status unchanged by draft),MODEL-EXCEPTION-LINKAGE (unchanged by draft),Bypass detection (R4; must not gate on Suspended rule - GD-2),Phase 4 not authorized by this ADR; I11 gate un-bindable while Suspended (GD-2),PROPOSED - PENDING ADR BOARD APPROVAL
ADR-003,Propose P3-I11 conflict resolution by interpretation (C6-D): aggregate model = semantic home; RLS = enforcement expression,ADR-BOARD-C6-PQ1-DECISION-PACKAGE.md §4-§5; C6-security-definer-final-audit.md §6,Domains D1/D2/D3 (semantic vs enforcement); Rule P3/I5/I11 (D1),P3; I5; I11,R1 rule.registry.ts (I11 state unchanged by draft),SPEC-* (no text change; interpretation recorded on acceptance),MODEL-DEPENDENCY-DIRECTIONS / MODEL-LINKING (unchanged by draft),Conflict-resolution record (on acceptance); precedence recorded,Phase 4 not authorized by this ADR; conflict resolution is a Phase-4 precondition,PROPOSED - PENDING ADR BOARD APPROVAL
ADR-003,Propose I11 state transition Violated -> Board-reviewed -> Exception/clarification recorded -> Suspended (scope/expiry); NOT yet resolved,C6-security-definer-final-audit.md §3/§5; ADR-BOARD-C6-PQ1-DECISION-PACKAGE.md §2.2,Rule I11 (D1); Lifecycle/State (D7); Exception (D6),I11,State machine: transition 10 on acceptance; state held in Architecture State Registry (D7; R8),constitutional-state-machine.md (rules 2-3),State-machine relationship (transition 10; rule 2),State transition recorded on acceptance; no gate binding while Suspended,Phase 4 not authorized; I11 remains Violated today,PROPOSED - PENDING ADR BOARD APPROVAL
ADR-004,Propose EC8 audit chain = Candidate A: Decision -> Evidence -> Constraint -> Rule; record Candidate B as projection,constitutional-object-model.md §2.3 line 107; PQ1-EC8-final-confirmation.md; ADR-BOARD-C6-PQ1-DECISION-PACKAGE.md §8-§9,Traceability (T3); Decision/Evidence/Constraint/Rule objects (D1-D6),T3; G3; EC8,No registry change on draft; TRACEABILITY_CHAIN already matches A (traceability-graph.ts),decision.specification tracesTo (unchanged),MODEL-TRACEABILITY / DEPENDENCY_EDGE_DIRECTIONS (A in range; B recorded as projection),TRACEABILITY_CHAIN pinning; audit-chain edge assertions (scaffold, no execution),Phase 4 not authorized by this ADR; engine EC8 audit must not be built before selection,PROPOSED - PENDING ADR BOARD APPROVAL
ADR-004,Propose no constitutional amendment (confirmatory ADR for Candidate A),constitutional-object-model.md §2.3; ADR-BOARD-C6-PQ1-DECISION-PACKAGE.md §9,Rules P3/I5/I11 (D1); object-model §2.3 text,frozen constitutional text unchanged,none proposed,SPEC-* unchanged,object-model §2.3 remains as written,EC8 document-level exit criterion vs object-level audit chain distinction recorded,Phase 4 not authorized by this ADR,PROPOSED - PENDING ADR BOARD APPROVAL

# Consistency matrix for ADR-003 and ADR-004 (board submission package).
# Every row is PROPOSED - PENDING ADR BOARD APPROVAL. No row claims an unaccepted decision is active.
# I11 remains Violated today (precedent PRECEDENT-I11-SECURITY-DEFINER is Unrecorded; EXCEPTIONS empty).
# ADR-INDEX §1 still lists ADR-001/ADR-002 only; §3 PQ-1/PQ-2 remain OPEN; ADR-003/ADR-004 not registered.
# Phase 4 remains BLOCKED; neither ADR, if accepted, authorizes Phase 4.
