ClaimID,ADR,Claim,SourceArtifact,SourceLocation,VerificationResult,FindingRef,Status
C-001,ADR-003,"P3 text: aggregate-level invariants (RULE 11, RULE 12) must be expressible in a single authoritative model, not scattered across policies and repository methods.","docs/architecture/adr/ADR-002-canonical-dataset-architecture.md","Section 3, P3 (line 71)",VERBATIM MATCH,None,VERIFIED
C-002,ADR-003,"I5 text: aggregate-level business invariants (RULE 11 terminal-state reachability; RULE 12 evidence DELETE four-factor matrix) are expressible in a single authoritative model and assertable by verification.","docs/architecture/adr/ADR-002-canonical-dataset-architecture.md","Section 5, I5 (line 118)",VERBATIM MATCH,None,VERIFIED
C-003,ADR-003,"I11 text: Schema, RLS, and data are distinct architectural concerns; no single construct may own more than one (RLS remains the sole access-control mechanism - never disabled, never bypassed).","docs/architecture/adr/ADR-002-canonical-dataset-architecture.md","Section 5, I11 (line 124)",VERBATIM MATCH,None,VERIFIED
C-004,ADR-003,"RULE 12 semantic home: DOMAIN_MODEL A02 (Condition) carries the RULE 12 evidence-DELETE four-factor matrix; A09 (Document) carries RULE 12 evidence residence.","docs/architecture/DOMAIN_MODEL.md","A02 (line 26/69); A09 (line 33/118)",MATCH,None,VERIFIED
C-005,ADR-003,"RULE 12 crosses A01/A02/A09/A18 (V4).","docs/architecture/DOMAIN_MODEL.md","V4 (line 353)",VERBATIM MATCH,None,VERIFIED
C-006,ADR-003,"V8 records the P3 vs I11 conflict as out of scope for DOMAIN_MODEL and requiring ADR machinery; aggregate home now provided.","docs/architecture/DOMAIN_MODEL.md","V8 (line 357)",VERBATIM MATCH,None,VERIFIED
C-007,ADR-003,"R9 precedent PRECEDENT-I11-SECURITY-DEFINER: targetElement I11, authority 'Unrecorded - pending ADR review', scope 'registration only', expiry 'Not defined', status 'Unrecorded'; EXCEPTIONS empty.","backend/src/governance/registries/exception.registry.ts","KNOWN_PRECEDENTS (lines 24-34); EXCEPTIONS (line 37)",MATCH (per evidence register C6EV-01/02),None,VERIFIED
C-008,ADR-003,"Executable surface = 30 SECURITY DEFINER functions = 28 live (13 system + 4 security + 6 committee + 5 documents) + 2 migration-only; recorded scope covers 1 (fn_register_user, C6-015); uncovered live surface = 27.","docs/architecture/adr/C6-security-definer-final-audit.md; C6-security-definer-inventory.csv","Audit section 1.2/3; inventory rows C6-001..C6-030",MATCH (13+4+6+5=28),None,VERIFIED
C-009,ADR-003,"Every live SECURITY DEFINER function bypasses RLS on protected data.","docs/architecture/adr/C6-security-definer-final-audit.md","Section 3 (line 66)",IMPRECISE - audit section 2 Q1 states fn_current_user_id (C6-005) reads only the app.user_id GUC and is 'unnecessary hygiene, NOT an RLS bypass'",A3-01,NEEDS CORRECTION
C-010,ADR-003,"Migration-only C6-029/C6-030 (fn_encrypt/fn_decrypt) are transitional migration-002 artifacts, proposed excluded from the live exception scope.","backend/migrations/002_encryption.js; C6-security-definer-inventory.csv","Inventory rows C6-029/C6-030",MATCH,None,VERIFIED
C-011,ADR-003,"I11 state transition path: Violated -> Suspended (transition 10) for exception scope/expiry; -> Active (transition 12) on expiry; Violated/Suspended may not bind a gate (state-machine rule 2; GD-2).","docs/constitutional-state-machine.md; backend/src/governance/relationships/gate-dependency.ts","Transitions 10 (line 42), 12 (line 44); rule 2 (line 100); GD-2",MATCH,None,VERIFIED
C-012,ADR-003,"Exception mechanism: Decision may grant Exception; Exception suspends Rule; unrecorded exception = violation regardless of intent.","docs/constitutional-object-model.md","Section 2.2 (lines 96-97); section 3 rule 6 (line 119)",MATCH,None,VERIFIED
C-013,ADR-003,"C6-D + C6-C satisfies C6's two required parts (record exception + resolve P3-I11 conflict); NOT sufficient to bind the I11 gate (GD-2).","docs/architecture/adr/C6-security-definer-final-audit.md","Section 5 (lines 87-90)",MATCH,None,VERIFIED
C-014,ADR-003,"Options C6-A..C6-E match the option matrix; proposed direction is C6-D+C6-C.","docs/architecture/adr/ADR-BOARD-C6-PQ1-OPTION-MATRIX.csv","Rows C6-A..C6-E",MATCH,None,VERIFIED
C-015,ADR-003,"Prior package enumerated system.fn_auto_transition as part of the surface (over-count); final audit inventory excludes it (dropped; not canonical).","ADR-BOARD-C6-PQ1-DECISION-PACKAGE.md line 171; ADR-BOARD-C6-PQ1-EVIDENCE-REGISTER.csv C6EV-10; archive/sql-history/39-drop-auto-transition.sql; docs/architecture/Workflow-Implementation-Contract.md line 189; backend/schema_only_dump.sql:213",Package line 171; drop script; WIC line 189",DIVERGENT - fn_auto_transition IS SECURITY DEFINER in 5 of the 6 counted schema dumps but was dropped and is not in canonical extraction; final audit (authoritative) excludes it",A3-03,NEEDS RECONCILIATION
C-016,ADR-003,"Precedence/conflict-resolution record required before Phase 4 (PREC-02); ADR section 12(5) defers recording wording to 'later enforcement work'.","docs/architecture/adr/ADR-BOARD-C6-PQ1-PHASE4-PRECONDITIONS.csv; ADR-003 section 12",PREC-02; ADR-003 section 12 item 5",ANCHORING CLARIFICATION NEEDED - precedence statement is stated in ADR-003 section 5(1); section 12(5) wording should anchor to it",A3-02,NEEDS CORRECTION
C-017,ADR-004,"Authoritative EC8 audit chain source: object-model section 2.3 line 107: Traceability | traverses | Relationship | Decision -> Evidence -> Constraint -> Rule (T3; EC8).","docs/constitutional-object-model.md","Line 107",VERBATIM MATCH,None,VERIFIED
C-018,ADR-004,"Enforcement-architecture section 2/3 defines Traceability as 'the backward chain decision -> evidence -> constraint -> rule'.","docs/constitutional-enforcement-architecture.md","Line 76",VERBATIM MATCH,None,VERIFIED
C-019,ADR-004,"TRACEABILITY_CHAIN = ['Decision','Evidence','Constraint','Rule']; asserted at relationships.test.ts:384.","backend/src/governance/relationships/traceability-graph.ts; backend/src/governance/relationships/__tests__/relationships.test.ts","Lines 26-31; line 384",MATCH,None,VERIFIED
C-020,ADR-004,"Phase 3 recorded Candidate A and surfaced the section 2.3 vs section 4 ambiguity as PQ-1 (LOW-2).","docs/architecture/registry/phase3-review-decision.md; phase3-dependency-graph-report.md section 3; phase3-traceability-report.md section 6","C5 (line 35); report section 3/6; ADR-INDEX PQ-1",MATCH,None,VERIFIED
C-021,ADR-004,"PQ1-EC8-final-confirmation.md confirms the traceability-chain Candidate A.","docs/architecture/adr/PQ1-EC8-final-confirmation.md","Lines 1-42",MISCITATION - that document decides a DIFFERENT EC-8 question (Document aggregate subscriber endpoint, its own Candidate A/B) and cites non-existent 'domain-model/object-model.md' (no domain-model/ directory exists); it does not support the traceability-chain selection",A4-01,NEEDS CORRECTION
