"Schema","Table","Rows","Seeded","BusinessCritical","ShouldHaveSeedData","CurrentCoverage","RecommendedCoverage","Priority","Notes"
"audit","audit_details","12852","Known","Yes","No","Well Populated","None needed","Low",""
"audit","audit_logs","22356","Known","Yes","No","Well Populated","None needed","Low",""
"audit","entity_changes","0","Unknown","No","No","Empty","None needed","Low",""
"audit","hash_ledger","0","Unknown","No","No","Empty","None needed","Low",""
"committee","accreditation_assessment_items","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_assessments","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_conditions","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_cycle_metrics","0","Unknown","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_cycles","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_decisions","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_evidence","0","Unknown","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_standard_versions","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","accreditation_standards","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 33 no-op (APP-2024 anchor)"
"committee","agenda_items","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","application_conditions","15","Known","Yes","Yes","Partially Populated","Enrich","High",""
"committee","attendance_logs","4","Known","No","Yes","Minimal","Expand","Medium",""
"committee","committee_meetings","2","Known","No","Yes","Minimal","Expand","Medium",""
"committee","committee_member_roles","0","Known","Yes","Yes","Empty","Must seed","Critical","Should contain seed data"
"committee","committee_members","57","Known","Yes","Yes","Partially Populated","Enrich","High",""
"committee","committee_roles","5","Known","Yes","Yes","Minimal","Maintain (complete)","Low",""
"committee","committee_types","8","Known","Yes","Yes","Minimal","Maintain (complete)","Low",""
"committee","committees","8","Known","Yes","Yes","Minimal","Maintain (complete)","Low",""
"committee","consent_review_comments","0","Known","No","No","Empty","None needed","Low",""
"committee","consent_template_versions","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","consent_templates","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","ethics_reviews","67","Known","Yes","Yes","Partially Populated","Enrich","High",""
"committee","ethics_risk_assessments","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","ethics_risk_items","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","meeting_agendas","1","Known","No","Yes","Minimal","Expand","Medium",""
"committee","meeting_minutes","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","member_conflicts","0","Unknown","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","member_qualifications","0","Unknown","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","member_terms","0","Unknown","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","quorum_logs","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","review_answers","0","Known","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"committee","review_assignments","286","Known","Yes","Yes","Well Populated","Maintain","High",""
"committee","review_comments","3","Known","No","Yes","Minimal","Expand","Medium",""
"committee","review_conflicts","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"committee","review_forms","18","Known","Yes","Yes","Partially Populated","Enrich","High",""
"committee","review_questions","54","Known","Yes","Yes","Partially Populated","Enrich","High",""
"committee","review_recommendations","3","Known","No","Yes","Minimal","Expand","Medium",""
"committee","review_scores","0","Known","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"committee","scientific_reviews","73","Known","Yes","Yes","Partially Populated","Enrich","High",""
"committee","votes","2","Known","No","Yes","Minimal","Expand","Medium",""
"committee","voting_sessions","1","Known","No","Yes","Minimal","Expand","Medium",""
"communication","announcements","0","Known","No","No","Empty","None needed","Low",""
"communication","message_attachments","0","Unknown","No","No","Empty","None needed","Low",""
"communication","message_recipients","36","Known","No","Yes","Partially Populated","Enrich","Medium",""
"communication","messages","18","Known","Yes","Yes","Partially Populated","Enrich","High",""
"communication","notification_channels","5","Known","No","Yes","Minimal","Maintain (complete)","Low",""
"communication","notification_logs","12","Known","Yes","Yes","Partially Populated","Enrich","High",""
"communication","notification_templates","8","Known","No","Yes","Minimal","Maintain (complete)","Low",""
"communication","notifications","84","Known","Yes","Yes","Partially Populated","Enrich","High",""
"communication","user_notification_preferences","0","Unknown","No","No","Empty","None needed","Low",""
"core","amendment_requests","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"core","application_amendments","7","Known","Yes","Yes","Minimal","Expand","High",""
"core","application_checklists","0","Unknown","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"core","application_consents","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"core","application_history","459","Known","Yes","Yes","Well Populated","Maintain","High",""
